1,0,0.4999999999999998,0.006289482116699219,1
2,10,0.9999999999999989,0.006375551223754883,1
3,111,0.9453124999999978,0.006295680999755859,2
4,1101,0.9613189697265593,0.0063474178314208984,3
5,11100,0.999182315543289,0.006518125534057617,4
6,001100,0.9965856807867882,0.0069730281829833984,6
7,1010100,0.9956198656943095,0.0078887939453125,8
8,11001010,0.999947042103274,0.014507293701171875,12
9,011100011,0.9994480261540089,0.06704092025756836,17
10,0011100101,0.9994612447444505,0.47757816314697266,25
11,01010000100,0.9999968477766489,3.845430612564087,35
12,100101100000,0.9999453461091811,29.91263198852539,50
