9.995115994824665950e-01,0.000000000000000000e+00
9.975594283897295522e-01,6.243896484374990979e-02
9.917105407798423311e-01,1.246340274810789350e-01
9.819877838700354911e-01,1.863422384485600158e-01
9.684291371794819803e-01,2.473225500471013805e-01
9.510875641718230522e-01,3.073367579345212541e-01
9.300308053666177521e-01,3.661504316112594859e-01
9.053411137279477883e-01,4.235338301645160120e-01
8.771149333637757728e-01,4.792627996936907886e-01
8.454625227911585217e-01,5.331196489115573867e-01
8.105075242388937173e-01,5.848939995008680670e-01
7.723864806700644348e-01,6.343836079046272225e-01
7.312483024111158247e-01,6.813951553400058314e-01
6.872536854708782839e-01,7.257450029498337951e-01
6.405744838217724002e-01,7.672599091418923489e-01
5.913930380952270305e-01,8.057777063138766849e-01
5.399014633136332009e-01,8.411479343205588988e-01
4.863008984409677438e-01,8.732324282088134160e-01
4.308007206837638492e-01,9.019058579243636187e-01
3.736177276113937795e-01,9.270562178824136579e-01
3.149752902905353924e-01,9.485852644893434382e-01
2.551024807419856044e-01,9.664088999068649599e-01
1.942331771280371711e-01,9.804575005591342762e-01
1.326051501659303022e-01,9.906761890998486697e-01
7.045913433598814668e-02,9.970250487768745895e-01
8.037887512546850952e-03,9.994792793571161127e-01
